"","Year","Area","Street","Street.2"
"1",2011,"Birmingham","Acocks Green",""
"2",2011,"","Adderly Street",""
"3",2011,"","Alcester Raod Mosley",""
"4",2011,"","Alcester Road",""
"5",2011,"","Alcester Road Moseley",""
"6",2011,"","Alcester Road Moseley",""
"7",2011,"","Alfred Street",""
"8",2011,"","All Service Club Mosley",""
"9",2011,"","Alum Rock Road",""
"10",2011,"","Alum Rock Road",""
"11",2011,"","Alum Rock Road",""
"12",2011,"","Alum Rock Road",""
"13",2011,"","Arcadian Centre",""
"14",2011,"","Arden Road Saltley",""
"15",2011,"","Asda Chemsley Wood",""
"16",2011,"","Balsahll Heath Park J W Brighton Road",""
"17",2011,"","Bamford Road",""
"18",2011,"","Bamford Road",""
"19",2011,"","BeechBrook Avenue Sparkhill",""
"20",2011,"","Belchers Lane",""
"21",2011,"","Belchers Lane",""
"22",2011,"","Belchers Lane",""
"23",2011,"","Belchers Lane Bordesley Green",""
"24",2011,"","Bell Street",""
"25",2011,"","Berkley Rd East Haymills",""
"26",2011,"","Birmingham Airport",""
"27",2011,"","Birmingham International Railway Station",""
"28",2011,"","Bordesley Green",""
"29",2011,"","Bordesley Green Bordesley Green",""
"30",2011,"","Bristol Road",""
"31",2011,"","Bristol Street",""
"32",2011,"","Broad Street",""
"33",2011,"","Broad Street",""
"34",2011,"","Broad Street Birmingham",""
"35",2011,"","Buckland End Lane Shard End",""
"36",2011,"","Bulls Head PH St Marys Row",""
"37",2011,"","Bushbury Road Kitts Green",""
"38",2011,"","Chartice Road",""
"39",2011,"","Chestnut Road",""
"40",2011,"","Church Rd Stechford",""
"41",2011,"","Church Road Sheldon",""
"42",2011,"","Clifford RD Dorridge",""
"43",2011,"","Clock Lane",""
"44",2011,"","Colonial Road Bordesley Green",""
"45",2011,"","Corporation St Birmingham",""
"46",2011,"","Corporation Street",""
"47",2011,"","Coventry Rd Small Heath",""
"48",2011,"","COVENTRY RD SMALL HEATH BHAM",""
"49",2011,"","Coventry Road",""
"50",2011,"","Coventry Road",""
"51",2011,"","Coventry Road",""
"52",2011,"","Coventry Road",""
"53",2011,"","Coventry Road",""
"54",2011,"","Coventry Road Small Heath",""
"55",2011,"","Coventry Road Small Heath",""
"56",2011,"","Coventry Road Small Heath",""
"57",2011,"","Cranes Park Road",""
"58",2011,"","Cranes Park Road Sheldon",""
"59",2011,"","Crossfield Road",""
"60",2011,"","Crossfields Road Kitts Green",""
"61",2011,"","Cxhurch Rd Stechford Bham",""
"62",2011,"","Digbeth High Street",""
"63",2011,"","Edgbaston Road",""
"64",2011,"","Edward Road Moseley",""
"65",2011,"","Fighting Cox PH",""
"66",2011,"","Foremans Road Sparkhill",""
"67",2011,"","Front Office Kings Heath",""
"68",2011,"","Garretts Green Road Garretts Green",""
"69",2011,"","Giles Close",""
"70",2011,"","GILES CLOSE STECHFORD",""
"71",2011,"","Glazedale Road",""
"72",2011,"","Gospel Farm Road",""
"73",2011,"","Gospel Farm Road",""
"74",2011,"","Gospel Lane",""
"75",2011,"","Gospel Lane",""
"76",2011,"","Gospel Lane",""
"77",2011,"","Gospel Lane Acocks Green",""
"78",2011,"","Grace Church Sutton Coldfield",""
"79",2011,"","Great Hampton Street",""
"80",2011,"","Green Lane",""
"81",2011,"","Greswell Lane Shard End",""
"82",2011,"","Harlequin Drive Mosley",""
"83",2011,"","Haslucks Green Road",""
"84",2011,"","Hazeldean Road",""
"85",2011,"","Heartlands Hospital",""
"86",2011,"","Heartlands Hospital",""
"87",2011,"","Heartlands Hospital A E",""
"88",2011,"","Heartlands Hospital A E",""
